escenario,algoritmo,seed,n_viewpoints,mejor_distancia,tiempo_total,iteraciones,estado
1,ACO_AS,1,94,10.82027168571949,46.070946199819446,100,OK
1,ACO_AS,2,94,10.837852492928505,40.37040590005927,100,OK
1,ACO_AS,3,94,10.932186514139175,40.047295399941504,100,OK
1,ACO_AS,4,94,10.849243730306625,41.03078209981322,100,OK
1,ACO_AS,5,94,10.767811439931393,40.703741600038484,100,OK
1,ACO_AS,6,94,10.746693894267082,41.014881500042975,100,OK
1,ACO_AS,7,94,10.638276249170303,40.35303750005551,100,OK
1,ACO_AS,8,94,10.836346067488194,38.86189000005834,100,OK
1,ACO_AS,9,94,10.934401832520962,40.98594749998301,100,OK
1,ACO_AS,10,94,10.834994539618492,40.903733500046656,100,OK
1,ACO_AS,11,94,10.849261596798897,40.93507799995132,100,OK
1,ACO_AS,12,94,10.811450690031052,39.709383599925786,100,OK
1,ACO_AS,13,94,10.648350585252047,44.1416682000272,100,OK
1,ACO_AS,14,94,11.112893179059029,39.75129189994186,100,OK
1,ACO_AS,15,94,10.8769950568676,38.16620879992843,100,OK
1,ACO_AS,16,94,10.772862993180752,45.12664440018125,100,OK
1,ACO_AS,17,94,10.766580305993557,40.515443299897015,100,OK
1,ACO_AS,18,94,10.704397216439247,41.51164049981162,100,OK
1,ACO_AS,19,94,10.809692740440369,40.646808499936014,100,OK
1,ACO_AS,20,94,10.926077589392662,39.350024399813265,100,OK
1,ACO_AS,21,94,10.827126331627369,40.75999390007928,100,OK
1,ACO_AS,22,94,10.778737157583237,40.516072700032964,100,OK
1,ACO_AS,23,94,10.935004614293575,40.55940610007383,100,OK
1,ACO_AS,24,94,10.824773162603378,41.4643510999158,100,OK
1,ACO_AS,25,94,10.712597526609898,39.85606470005587,100,OK
1,ACO_AS,26,94,10.66760916262865,41.10161709995009,100,OK
1,ACO_AS,27,94,10.924758285284042,41.20260629989207,100,OK
1,ACO_AS,28,94,10.838848166167736,41.0423567998223,100,OK
1,ACO_AS,29,94,10.78662984073162,40.79815960000269,100,OK
1,ACO_AS,30,94,10.785635061562061,40.51962379994802,100,OK
1,ACO_EAS,1,94,10.977407056838274,40.90348229999654,100,OK
1,ACO_EAS,2,94,11.142017900943756,40.997793999966234,100,OK
1,ACO_EAS,3,94,10.97411085665226,40.38908500014804,100,OK
1,ACO_EAS,4,94,11.048110280185938,41.85136159998365,100,OK
1,ACO_EAS,5,94,11.070995479822159,43.097460800083354,100,OK
1,ACO_EAS,6,94,11.23779833316803,41.44528570002876,100,OK
1,ACO_EAS,7,94,10.943260308355093,41.1211704001762,100,OK
1,ACO_EAS,8,94,11.075260773301125,42.1337504000403,100,OK
1,ACO_EAS,9,94,10.703799836337566,42.525679300073534,100,OK
1,ACO_EAS,10,94,11.184497639536858,41.03566169994883,100,OK
1,ACO_EAS,11,94,10.84213650971651,39.93396870000288,100,OK
1,ACO_EAS,12,94,11.376452557742596,40.3091372998897,100,OK
